effect_id,study_id,paper_doi,paper_title,publication_year,experiment_year,country,location,latitude,longitude,crop_core,season,residue_as_reported,pathway,outcome,outcome_unit,treatment_arm,control_arm,treatment_mean,control_mean,treatment_se,control_se,treatment_n,control_n,shared_control_group,source_locator,water_regime,system_boundary
sharma_ludhiana_2011_2018_rice_noGM_yield,sharma_ludhiana_2011_2018,10.1016/j.heliyon.2023.e17828,"Tillage, green manuring and crop residue management impacts on crop productivity, potassium use efficiency and potassium fractions under rice-wheat system",2023,2011-2018 pooled,India,"Punjab Agricultural University, Ludhiana",30.9,75.666667,rice,Kharif_wet,wheat straw,direct_return,yield,Mg ha-1,CTRW25,CTRW0,6.42,6.20,0.17,0.18,3,3,sharma_2011_2018_rice_noGM_CTRW0,Table 2,irrigated rice-wheat,crop harvest
sharma_ludhiana_2011_2018_rice_GM_yield,sharma_ludhiana_2011_2018,10.1016/j.heliyon.2023.e17828,"Tillage, green manuring and crop residue management impacts on crop productivity, potassium use efficiency and potassium fractions under rice-wheat system",2023,2011-2018 pooled,India,"Punjab Agricultural University, Ludhiana",30.9,75.666667,rice,Kharif_wet,wheat straw,direct_return,yield,Mg ha-1,CTRW25+GM,CTRW0+GM,6.85,6.72,0.13,0.17,3,3,sharma_2011_2018_rice_GM_CTRW0,Table 2,irrigated rice-wheat,crop harvest
sharma_ludhiana_2011_2018_wheat_noGM_yield,sharma_ludhiana_2011_2018,10.1016/j.heliyon.2023.e17828,"Tillage, green manuring and crop residue management impacts on crop productivity, potassium use efficiency and potassium fractions under rice-wheat system",2023,2011-2018 pooled,India,"Punjab Agricultural University, Ludhiana",30.9,75.666667,wheat,Rabi_dry,wheat straw,direct_return,yield,Mg ha-1,CTRW25,CTRW0,5.16,4.98,0.16,0.13,3,3,sharma_2011_2018_wheat_noGM_CTRW0,Table 3,irrigated rice-wheat,crop harvest
sharma_ludhiana_2011_2018_wheat_GM_yield,sharma_ludhiana_2011_2018,10.1016/j.heliyon.2023.e17828,"Tillage, green manuring and crop residue management impacts on crop productivity, potassium use efficiency and potassium fractions under rice-wheat system",2023,2011-2018 pooled,India,"Punjab Agricultural University, Ludhiana",30.9,75.666667,wheat,Rabi_dry,wheat straw,direct_return,yield,Mg ha-1,CTRW25+GM,CTRW0+GM,5.49,5.37,0.31,0.21,3,3,sharma_2011_2018_wheat_GM_CTRW0,Table 3,irrigated rice-wheat,crop harvest
