country,crop_display,rows,trials
China,maize,19,2
China,rice,246,9
China,rotation,3,1
China,wheat,59,4
India,rice,28,3
India,wheat,7,3
Nepal,rice,6,1
Pakistan,wheat,1,1
Vietnam,rice,20,1
