study_id,pathway,outcome,soc_kind,n_effects,mean_lnrr,percent,effect_ids,countries,crops,doi,citations
dong_harbin_2015_2017,biochar_return,GWP,not_SOC,18,0.11243438724315553,11.899883390566563,dong_2024_GWP_2015_N1C1_vs_N1C0|dong_2024_GWP_2015_N1C2_vs_N1C0|dong_2024_GWP_2015_N1C3_vs_N1C0|dong_2024_GWP_2015_N2C1_vs_N2C0|dong_2024_GWP_2015_N2C2_vs_N2C0|dong_2024_GWP_2015_N2C3_vs_N2C0|dong_2024_GWP_2016_N1C1_vs_N1C0|dong_2024_GWP_2016_N1C2_vs_N1C0|dong_2024_GWP_2016_N1C3_vs_N1C0|dong_2024_GWP_2016_N2C1_vs_N2C0|dong_2024_GWP_2016_N2C2_vs_N2C0|dong_2024_GWP_2016_N2C3_vs_N2C0|dong_2024_GWP_2017_N1C1_vs_N1C0|dong_2024_GWP_2017_N1C2_vs_N1C0|dong_2024_GWP_2017_N1C3_vs_N1C0|dong_2024_GWP_2017_N2C1_vs_N2C0|dong_2024_GWP_2017_N2C2_vs_N2C0|dong_2024_GWP_2017_N2C3_vs_N2C0,China,rice,10.3390/agronomy14123050,Dong et al. 2024
dong_harbin_2015_2017,biochar_return,N2O,not_SOC,18,-0.0028067685473222212,-0.28028332551621954,dong_2024_N2O_2015_N1C1_vs_N1C0|dong_2024_N2O_2015_N1C2_vs_N1C0|dong_2024_N2O_2015_N1C3_vs_N1C0|dong_2024_N2O_2015_N2C1_vs_N2C0|dong_2024_N2O_2015_N2C2_vs_N2C0|dong_2024_N2O_2015_N2C3_vs_N2C0|dong_2024_N2O_2016_N1C1_vs_N1C0|dong_2024_N2O_2016_N1C2_vs_N1C0|dong_2024_N2O_2016_N1C3_vs_N1C0|dong_2024_N2O_2016_N2C1_vs_N2C0|dong_2024_N2O_2016_N2C2_vs_N2C0|dong_2024_N2O_2016_N2C3_vs_N2C0|dong_2024_N2O_2017_N1C1_vs_N1C0|dong_2024_N2O_2017_N1C2_vs_N1C0|dong_2024_N2O_2017_N1C3_vs_N1C0|dong_2024_N2O_2017_N2C1_vs_N2C0|dong_2024_N2O_2017_N2C2_vs_N2C0|dong_2024_N2O_2017_N2C3_vs_N2C0,China,rice,10.3390/agronomy14123050,Dong et al. 2024
dong_harbin_2015_2017,biochar_return,SOC,SOC_concentration,18,0.044315286257227776,4.531187540790158,dong_2024_SOC_2015_N1C1_vs_N1C0|dong_2024_SOC_2015_N1C2_vs_N1C0|dong_2024_SOC_2015_N1C3_vs_N1C0|dong_2024_SOC_2015_N2C1_vs_N2C0|dong_2024_SOC_2015_N2C2_vs_N2C0|dong_2024_SOC_2015_N2C3_vs_N2C0|dong_2024_SOC_2016_N1C1_vs_N1C0|dong_2024_SOC_2016_N1C2_vs_N1C0|dong_2024_SOC_2016_N1C3_vs_N1C0|dong_2024_SOC_2016_N2C1_vs_N2C0|dong_2024_SOC_2016_N2C2_vs_N2C0|dong_2024_SOC_2016_N2C3_vs_N2C0|dong_2024_SOC_2017_N1C1_vs_N1C0|dong_2024_SOC_2017_N1C2_vs_N1C0|dong_2024_SOC_2017_N1C3_vs_N1C0|dong_2024_SOC_2017_N2C1_vs_N2C0|dong_2024_SOC_2017_N2C2_vs_N2C0|dong_2024_SOC_2017_N2C3_vs_N2C0,China,rice,10.3390/agronomy14123050,Dong et al. 2024
du_dingxi_2016_2022,direct_return,GHGI,not_SOC,6,0.05746967673741666,5.915315318860139,du_dingxi_2016_2022_2021_HN_GHGI|du_dingxi_2016_2022_2021_LN_GHGI|du_dingxi_2016_2022_2021_MN_GHGI|du_dingxi_2016_2022_2022_HN_GHGI|du_dingxi_2016_2022_2022_LN_GHGI|du_dingxi_2016_2022_2022_MN_GHGI,China,wheat,10.3390/agronomy14092087,
du_dingxi_2016_2022,direct_return,GWP,not_SOC,6,0.1087082508199,11.483705009540474,du_dingxi_2016_2022_2021_HN_GWP|du_dingxi_2016_2022_2021_LN_GWP|du_dingxi_2016_2022_2021_MN_GWP|du_dingxi_2016_2022_2022_HN_GWP|du_dingxi_2016_2022_2022_LN_GWP|du_dingxi_2016_2022_2022_MN_GWP,China,wheat,10.3390/agronomy14092087,
du_dingxi_2016_2022,direct_return,SOC,SOC_concentration,6,0.05940766026621667,6.120776481264448,du_dingxi_2016_2022_2021_HN_SOC|du_dingxi_2016_2022_2021_LN_SOC|du_dingxi_2016_2022_2021_MN_SOC|du_dingxi_2016_2022_2022_HN_SOC|du_dingxi_2016_2022_2022_LN_SOC|du_dingxi_2016_2022_2022_MN_SOC,China,wheat,10.3390/agronomy14092087,
du_dingxi_2016_2022,direct_return,yield,not_SOC,6,0.05446333817296833,5.59737617766503,du_dingxi_2016_2022_2021_HN_yield|du_dingxi_2016_2022_2021_LN_yield|du_dingxi_2016_2022_2021_MN_yield|du_dingxi_2016_2022_2022_HN_yield|du_dingxi_2016_2022_2022_LN_yield|du_dingxi_2016_2022_2022_MN_yield,China,wheat,10.3390/agronomy14092087,
huang_jinxian_2010_2017,direct_return,SOC,SOC_concentration,2,0.06461559785109999,6.674888499628269,huang_2021_direct_return_early_rice_TOC|huang_2021_direct_return_late_rice_TOC,China,rice,10.1016/S2095-3119(20)63347-0,Huang et al. 2021
huang_jinxian_2010_2017,open_burning,SOC,SOC_concentration,2,0.020152610753124998,2.035704560246681,huang_2021_open_burning_early_rice_TOC|huang_2021_open_burning_late_rice_TOC,China,rice,10.1016/S2095-3119(20)63347-0,Huang et al. 2021
huang_shangzhuang_2006_2013,direct_return,N2O,not_SOC,6,0.4778796244908334,61.26513479721627,huang_shangzhuang_2006_2013_N2O_N0_maize_2012|huang_shangzhuang_2006_2013_N2O_N0_wheat_2011_2012|huang_shangzhuang_2006_2013_N2O_N0_wheat_2012_2013|huang_shangzhuang_2006_2013_N2O_Ncon_maize_2011|huang_shangzhuang_2006_2013_N2O_Ncon_maize_2012|huang_shangzhuang_2006_2013_N2O_Ncon_wheat_2012_2013,China,maize|wheat,10.5194/bg-10-7897-2013,
huang_shangzhuang_2006_2013,direct_return,yield,not_SOC,8,0.048171175140172495,4.935026263017487,huang_shangzhuang_2006_2013_yield_N0_maize_2011|huang_shangzhuang_2006_2013_yield_N0_maize_2012|huang_shangzhuang_2006_2013_yield_N0_wheat_2010_2011|huang_shangzhuang_2006_2013_yield_N0_wheat_2011_2012|huang_shangzhuang_2006_2013_yield_Ncon_maize_2011|huang_shangzhuang_2006_2013_yield_Ncon_maize_2012|huang_shangzhuang_2006_2013_yield_Ncon_wheat_2010_2011|huang_shangzhuang_2006_2013_yield_Ncon_wheat_2011_2012,China,maize|wheat,10.5194/bg-10-7897-2013,
jijnasa_bhubaneswar_2022_2024,biochar_return,SOC,SOC_concentration,2,0.14326131598449998,15.403132910023306,jijnasa_2223_biochar_soc|jijnasa_2324_biochar_soc,India,rice,10.14719/pst.10362,
